referrer_donor_id,referred_donor_id,referral_type,referral_date
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,003c374e-1358-471e-8f22-8a59276a0747,shared_interest,2025-06-08T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,0093fcb3-b524-416f-b6fe-b8cae32d411a,shared_interest,2025-06-10T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,00b2744b-14d6-43a5-885d-232b3e4b7b0a,shared_interest,2025-07-03T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,00cba771-fb33-4590-a41e-b4140ec0c527,shared_interest,2025-07-28T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,0106a48c-dfb3-4b1c-baff-563f33269393,shared_interest,2025-07-29T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,01170fce-33a9-44c3-8990-1891c89b08ab,shared_interest,2025-07-21T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,0178e78b-ca2b-4c1d-8478-c54d654da361,shared_interest,2025-07-01T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,017aecc1-ec5b-44dc-a629-b78f64de6e68,shared_interest,2025-08-16T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,0199ebd2-5287-4cec-9f95-e93b7305a7a4,shared_interest,2025-11-07T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,019b7753-5b69-42be-9b68-9d11394df183,shared_interest,2025-08-31T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,01d00b8f-8335-498e-9eba-5d8294235b03,shared_interest,2025-06-04T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,0213e574-1095-49cc-9c3d-388db5cce7f9,shared_interest,2025-08-06T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,02566141-6b8b-431a-be96-232fc318b69b,shared_interest,2025-09-18T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,02ab02f6-2bac-4a0d-bdc2-f84b166e3154,shared_interest,2025-09-29T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,032be5bb-852d-4ace-a3b4-ec7e72c75126,shared_interest,2025-06-13T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,0345bcfa-cc1d-4786-8c26-d52992b03849,shared_interest,2025-10-09T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,04346619-f18e-42eb-9374-d60fc94bf18d,shared_interest,2025-08-23T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,04765b66-2a12-4483-961c-b68158b78604,shared_interest,2025-08-10T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,05772823-69a7-45c9-bd3a-beca07d3a481,shared_interest,2025-10-08T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,065c5194-b678-44dd-9df6-29101fa5d57b,shared_interest,2025-11-05T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,06b2c83a-8f99-4891-91ca-4279b310d78c,shared_interest,2025-07-21T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,0718c6fe-b52e-4df5-b353-754a863ab27b,shared_interest,2025-08-07T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,07338794-c8f2-464c-b29a-9f1722ff75a3,shared_interest,2025-09-13T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,07ba2820-2d0b-411c-9bc8-b02a8f3cbbf5,shared_interest,2025-10-11T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,082ff939-d3a4-4410-b531-56ee76bdf63c,shared_interest,2025-09-17T01:06:51.794985
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,0850b612-3950-41e3-8ce0-11737d091b64,shared_interest,2025-08-23T01:06:51.794985
