interest_id,donor_id,interest_name,added_at
d3ccd83a-a700-4fa0-a14d-68c9cc02c660,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,Meditation,2025-08-30T02:52:35.489720
309231a2-d782-4b01-a6d2-4a9cd957f2be,2cdfec1d-2f33-47cf-a81f-7442578c17b8,Fitness,2025-08-30T02:52:35.491526
25e431a4-1a2a-400c-8f66-aded3f6e425b,2cdfec1d-2f33-47cf-a81f-7442578c17b8,Meditation,2025-08-30T02:52:35.491526
19b542c0-a6bc-430d-b795-5d805c391b18,2cdfec1d-2f33-47cf-a81f-7442578c17b8,Yoga,2025-08-30T02:52:35.491526
b3506b16-2fed-4a6c-bac4-138e0705f1ec,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Meditation,2025-08-30T02:52:35.493534
6f9d15a4-f42c-426d-803f-5311e860fe6d,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Nutrition,2025-08-30T02:52:35.493534
2327aedc-f86e-42cc-9011-a0e58c45ab0d,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Yoga,2025-08-30T02:52:35.493534
e92f4122-9d04-4e7b-8b73-4d66bbbf0d51,724b0662-be32-4adf-b63e-6d0a69fa3e3b,Yoga,2025-08-30T02:52:35.495543
7306a133-e127-43ed-9997-6929c3378717,724b0662-be32-4adf-b63e-6d0a69fa3e3b,Nutrition,2025-08-30T02:52:35.495543
88740e10-4bf0-4b85-a12e-d6e970d23a67,a6003879-edaa-4a4e-a79a-d8e478a6aec0,Nutrition,2025-08-30T02:52:35.495543
dfd70d9a-fd98-48da-a4b5-977ac9c05716,a6003879-edaa-4a4e-a79a-d8e478a6aec0,Yoga,2025-08-30T02:52:35.495543
1455f3e6-b477-45af-8aa2-819c7b277da0,a467aa3c-59c5-461d-aee5-2ca6e11a8e3d,Yoga,2025-08-30T02:52:35.497554
fcbc09c4-1df9-4b79-8732-0eb0b744a111,a467aa3c-59c5-461d-aee5-2ca6e11a8e3d,Nutrition,2025-08-30T02:52:35.497554
5d9b1f70-2b01-4e4c-ba01-e337a4f2bd4e,7667da40-5c39-41f1-9697-07b379e1a049,Meditation,2025-08-30T02:52:35.499561
f5fc5ad7-1d00-4387-b59f-39f1346431dd,7667da40-5c39-41f1-9697-07b379e1a049,Yoga,2025-08-30T02:52:35.499561
9b5cec21-f281-48c1-8153-1dffd5473ed6,7667da40-5c39-41f1-9697-07b379e1a049,Running,2025-08-30T02:52:35.499561
0ad02086-8b67-45c5-8907-caf4c9ed912b,de37fe36-8637-4173-825e-fc983a0d1dc2,Yoga,2025-08-30T02:52:35.501309
8cb9bd52-79ae-46bb-8917-501a52ed4e1a,de37fe36-8637-4173-825e-fc983a0d1dc2,Meditation,2025-08-30T02:52:35.501309
f2b3370b-a606-47de-80b8-a06e0208fe13,07c08a95-b20e-4c0c-a920-c478180d67f3,Meditation,2025-08-30T02:52:35.504667
67c3516c-94aa-450a-9808-d1c1acaf0e94,07c08a95-b20e-4c0c-a920-c478180d67f3,Nutrition,2025-08-30T02:52:35.504667
e281055d-5b83-4582-940b-f67d25a5f0f7,aaaa5064-6b5a-48c5-92d6-420bb08ed13b,Yoga,2025-08-30T02:52:35.505691
e0aabf46-2a28-4ac1-862a-e7ef05d6ed9b,067c7536-bbb2-4aa7-9b5f-7d50dc620a50,Nutrition,2025-08-30T02:52:35.507879
0643ce65-1729-4de9-8783-e97eb45a7e83,067c7536-bbb2-4aa7-9b5f-7d50dc620a50,Meditation,2025-08-30T02:52:35.507879
60ec2e16-3412-4c33-9b13-e262a385fb0f,067c7536-bbb2-4aa7-9b5f-7d50dc620a50,Fitness,2025-08-30T02:52:35.507879
f094214b-5ec2-4707-9bc5-166435d9d23a,a6f4a572-2ef3-4c2e-aefc-30640121cb89,Meditation,2025-08-30T02:52:35.511214
4a27f6d1-8d92-40ea-8eeb-2f29993f0c4d,a6f4a572-2ef3-4c2e-aefc-30640121cb89,Nutrition,2025-08-30T02:52:35.511214
0eadbcc7-baef-4437-93b4-15d3eaf07fb8,a6f4a572-2ef3-4c2e-aefc-30640121cb89,Yoga,2025-08-30T02:52:35.511214
ef869516-9ec8-4c14-a343-57fd7b4e2c1c,8f5ec432-5429-4c19-94de-b2319982c7d4,Fitness,2025-08-30T02:52:35.514111
b77aa010-a844-4ab8-88f2-c20327d172f1,8f5ec432-5429-4c19-94de-b2319982c7d4,Yoga,2025-08-30T02:52:35.514111
f2b22a34-c6a5-4681-addb-e76f18f196ea,8f5ec432-5429-4c19-94de-b2319982c7d4,Nutrition,2025-08-30T02:52:35.514111
f60a88c2-1dbd-461d-b71c-002ae18ba852,4801821c-e130-4bc3-849a-03fd628726c7,Yoga,2025-08-30T02:52:35.514111
