engagement_id,donor_id,campaign_name,channel,clicked,converted,engagement_timestamp
b2eecf68-3b5b-4b8f-8388-8e44cb6280d8,002ee4ed-6085-4969-9cf0-0776607ee397,Campaign 8,SMS,True,True,2025-04-30T12:33:51
6befb944-7a74-461e-94c7-0eacc49040c9,002ee4ed-6085-4969-9cf0-0776607ee397,Campaign 3,Social,True,True,2025-06-03T12:33:51
e62b9bb4-6116-4dfa-8c87-948425f4edcf,002ee4ed-6085-4969-9cf0-0776607ee397,Campaign 5,Phone,False,False,2025-04-21T12:33:51
f7aebac8-dade-4099-a20c-df47c35fac86,002ee4ed-6085-4969-9cf0-0776607ee397,Campaign 6,SMS,False,False,2024-04-25T12:33:51
b039066d-acf4-4ed1-bfe6-52fdb357ae2e,003c374e-1358-471e-8f22-8a59276a0747,Campaign 5,SMS,False,False,2025-08-08T12:33:51
e2ee48b5-1948-4ab8-9f9d-30da0b158cd5,003c374e-1358-471e-8f22-8a59276a0747,Campaign 9,SMS,True,True,2024-04-06T12:33:51
3819311a-72ee-444e-872a-4ddd0dfe505b,004f1a5a-796e-4d24-92f5-663c0c7fb445,Campaign 3,Phone,True,False,2024-04-12T12:33:51
65f5074d-28cf-42f6-8fb5-dd5a8ff6aaa2,004f1a5a-796e-4d24-92f5-663c0c7fb445,Campaign 3,SMS,True,True,2025-08-09T12:33:51
e634067b-113d-4366-83c4-655987b1d9fc,00684172-e806-46da-9c17-eb839869ecc8,Campaign 7,Email,False,True,2024-10-18T12:33:51
abc88aa5-549f-4b18-9a3e-66f7d67db2c3,006ced9f-89da-468a-9c8c-1a0ef98e8cd5,Campaign 10,SMS,False,True,2024-09-24T12:33:51
bb17334a-65d0-424e-9580-ae30b032daee,006ced9f-89da-468a-9c8c-1a0ef98e8cd5,Campaign 7,Phone,True,False,2025-07-26T12:33:51
2a0d587a-ed67-4e70-b6ce-fa193439a7ab,0093fcb3-b524-416f-b6fe-b8cae32d411a,Campaign 4,Email,False,False,2025-08-28T12:33:51
c3ccd0d7-e736-4ac7-9c4a-8265a0d080f2,00b2744b-14d6-43a5-885d-232b3e4b7b0a,Campaign 4,Email,True,True,2024-07-24T12:33:51
99126bc2-5b51-470a-be60-47ad81fec37e,00b2744b-14d6-43a5-885d-232b3e4b7b0a,Campaign 10,Phone,False,False,2024-12-03T12:33:51
b257002f-6f2b-4a79-8495-2f8c67f0e3d7,00cba771-fb33-4590-a41e-b4140ec0c527,Campaign 9,Email,False,True,2023-09-10T12:33:51
7e5eafe8-2fbb-4aaf-aad0-4448c3151633,00cba771-fb33-4590-a41e-b4140ec0c527,Campaign 2,Social,True,False,2025-01-25T12:33:51
6b5cdbc9-0c4f-4b57-8c6e-14bff0e4de79,00cba771-fb33-4590-a41e-b4140ec0c527,Campaign 9,SMS,True,True,2025-06-26T12:33:51
496bfaf2-2fe6-4745-b4ba-ca52344877ba,00cba771-fb33-4590-a41e-b4140ec0c527,Campaign 9,Social,True,False,2025-04-23T12:33:51
3101a3bc-dd41-4556-92d5-0b6356288f4a,00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Campaign 8,Phone,True,True,2024-04-18T12:33:51
6624593a-1d9f-4aff-82e6-e5c1e12fb05a,00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Campaign 1,Phone,True,True,2024-11-14T12:33:51
495146db-7cb6-4720-b551-860a687ce9c8,00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Campaign 5,Email,True,False,2025-07-20T12:33:51
2da5f0e4-3cd6-4460-b15e-57410af1c977,00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Campaign 7,SMS,False,False,2025-07-28T12:33:51
8d2e2976-c4ac-45fa-bafe-728a00e39969,00dfd0dd-b64f-42df-bf25-4eec7f829f6b,Campaign 3,Phone,False,False,2024-03-01T12:33:51
be752298-d575-4747-b0c3-5f07e29a2499,00dfd0dd-b64f-42df-bf25-4eec7f829f6b,Campaign 1,Social,True,True,2024-05-25T12:33:51
