referral_id,referrer_donor_id,referred_donor_id,referral_date,source_type
1d6c367f-c106-4f7e-bb78-b595aca206f3,9121bd2b-1d91-47df-9e61-d42d3589f7e3,bcea157f-f45e-442b-ae81-b447e258bf2f,2024-12-16T08:39:45.663591,event
47d65dd0-2403-43a6-ad7c-0e00abbc9b97,a703e8f3-9ffa-499b-a1e1-86c724c22606,927a2ea3-ad46-4c7e-bc05-5e13c9c6d353,2025-09-19T08:39:45.665264,event
5ab92f36-1650-4764-8966-fd0352492862,dd5661c5-c91c-4fd0-8a29-eced81279e83,848232f1-1cd2-4111-878a-45f7de8c8d5e,2025-08-19T08:39:45.666544,event
b8da15fd-9021-46ec-89bf-e2ef7facfda3,0f6b61f8-366d-42e8-822b-6bf42cf7ffb5,3a3161bc-78a1-4bfa-82ed-34c800775282,2025-04-29T08:39:45.666544,link
df25a15c-a3b9-4d34-b4c6-410b8f5b65cf,2a8194e1-b02a-4aa8-91a1-f03c2afa2341,bf4a42d5-8e88-4728-a99e-aeefc91ea28a,2025-09-03T08:39:45.668204,link
cfe25de1-1a07-4667-8d99-08732fdc385a,b2870368-ab65-4bea-bc50-052bb41cacc6,90a64857-98bb-41df-afd5-e01a2b0501d2,2024-12-05T08:39:45.668204,manual
ee78f4c4-17ad-4b7d-8df4-0d1974e9b08a,d8f14861-ba51-48d2-ace9-a13fce05acd2,1058a3cf-cb7b-477c-88fa-b8130b28da25,2025-07-03T08:39:45.668204,manual
a7edae02-b460-47c4-8cf6-c01c41309c1e,ab7ae623-bb49-4943-9dbd-1dd76623e9aa,62746641-bb9b-43f0-bb85-9c891f463a98,2024-12-21T08:39:45.671040,manual
96c45442-d2b2-4ccc-bb42-27aad24600bb,c41955f5-9513-4e99-b07f-552300997897,b9a9b600-777c-49e9-9a37-c2371bb8c4e7,2025-02-09T08:39:45.672963,link
422849b2-7528-4ef1-b2f4-133cc0f9a4e6,2ff8b186-5786-44dc-8d19-b5141b186af9,9de59691-a109-4460-8031-4b1e94babc89,2025-02-26T08:39:45.673986,manual
d8a8fa01-026c-4b11-84fd-581aad461951,99ce1385-6ae1-4acc-ad15-354ff8a5d6f7,3959f28a-dfbc-4c20-b8c2-c7cc1cda837d,2025-01-20T08:39:45.674454,manual
a30c7fed-3c76-4f69-a83a-0d546bc11ae8,01d00b8f-8335-498e-9eba-5d8294235b03,1ff2ad3a-34e7-4ead-a51a-8a4512ce576a,2025-04-08T08:39:45.675509,link
d318ba35-4b22-4fcd-84ae-ef7ffc861535,6ce2efb3-e2d0-4d83-844c-7bb8dde78b68,cc69a3b5-489a-49de-9a36-1d9d8eeb3a71,2025-10-02T08:39:45.676524,event
73102f87-0b53-4dcc-9998-345439d784ce,3fa705aa-f883-4f7d-9e6b-9076be84ce43,dad66b35-abae-4363-b38b-b84e0bf7e086,2025-05-26T08:39:45.677521,event
8e65534c-4292-4e51-bfab-1c600b1c5105,7bbb6837-e9d8-4460-8d72-d54a504895e2,e736afea-97e2-4f65-b042-2f0f2b22407c,2025-05-24T08:39:45.677521,manual
