referral_id,referrer_donor_id,referred_donor_id,referral_date,source_type
00c888d1-3534-48d7-a840-17639da89758,31178197-d467-41a4-a2ad-ff55c0eb362a,d11e0602-7e6f-4cf5-975d-1c6a4fba3bb7,2025-07-22 00:00:00,link
0195d114-0c8b-4a72-aa67-0a4df8ddc18c,19b5c6a3-a4b3-4719-9e86-ce8247452e4e,424dc1e0-1974-4a40-a055-6b375ee686bb,2024-06-05 00:00:00,event
01c75098-d7b1-4808-beb2-84c84dda004f,38e7717f-b462-4b58-992c-79b4f8e78b1b,bff02dfe-5389-4330-bc47-5871bd618812,2025-04-29 08:39:45.692744,link
020eec3b-86a2-478c-8b2d-9137f5aa2063,a7b8f142-6b8b-4eac-bae6-5f57f113147b,e1665060-8238-415b-8637-6f0a8ee0fdf4,2025-04-11 00:00:00,event
028da02e-bb4a-48e1-b0e7-b4b13ce058a4,f02ed6a7-04dc-45fe-8348-e5452a206816,a499369c-600f-4c95-8c4f-15b27de0781d,2024-07-29 00:00:00,link
0304182c-c5df-4a1a-92d5-9bff6be11676,8c5f87d8-6de7-49ba-a93a-ddec2903c65a,5831b241-ec64-421b-aa80-4b802bfed582,2025-08-13 00:00:00,link
032c2c34-c5e7-4797-a0f8-7ce367cb06d2,e917b350-36ea-4995-aab6-a3f6f33b1a5a,36a86dfc-a4b1-4203-a96d-f2e6ba9db90a,2025-06-18 00:00:00,event
03481b37-8279-4a11-a65c-0e9c88f2d285,d711cd5a-8762-4048-8c3e-e8ca94adbbe0,8e477cf9-508b-4b37-ad9f-dbd5a590edb8,2024-12-27 00:00:00,event
03b996c8-cc3c-4b53-8d4b-2b259150b3a8,6fbd2461-da38-4274-9625-22efb63951d9,82c0f34c-6750-4512-9b29-377cd817a500,2024-11-18 00:00:00,manual
03cb51a5-4739-46d0-88c9-a065a2565a49,816d11d7-1a47-4037-a48d-f625d931e058,0496be7b-16fc-4c98-b744-4158eab6da46,2025-11-02 08:39:45.702315,link
